tailnumber,dates,aircraft,origin,destination,departure,arrival,duration,Tail_number,NAME
N888CP,09-Dec-2020,LJ31,"<span dir=""ltr"">Muhammad Ali Intl</span>","<span dir=""ltr"">Southern Illinois</span>","<td>12:35PM <span class=""tz"">EST</span></td>","<td>12:13PM <span class=""tz"">CST</span></td>",0:37,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Muhammad Ali Intl</span>","<td>10:01AM <span class=""tz"">CST</span></td>","<td>11:45AM <span class=""tz"">EST</span></td>",0:44,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,08-Dec-2020,LJ31,"<span dir=""ltr"">Dallas Love Fld</span>","<span dir=""ltr"">Aurora Muni</span>","<td>03:58PM <span class=""tz"">CST</span></td>","<td>05:49PM <span class=""tz"">CST</span></td>",1:51,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,08-Dec-2020,LJ31,"<span dir=""ltr"">Bob Hope</span>","<span dir=""ltr"">Dallas Love Fld</span>","<td>10:32AM <span class=""tz"">PST</span></td>","<td>03:21PM <span class=""tz"">CST</span></td>",2:48,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Dec-2020,LJ31,"<span dir=""ltr"">Dallas Love Fld</span>","<span dir=""ltr"">Bob Hope</span>","<td>11:19AM <span class=""tz"">CST</span></td>","<td>12:19PM <span class=""tz"">PST</span></td>",2:59,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Dallas Love Fld</span>","<td>07:52AM <span class=""tz"">CST</span></td>","<td>09:40AM <span class=""tz"">CST</span></td>",1:47,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,04-Dec-2020,LJ31,"<span dir=""ltr"">New River Valley</span>","<span dir=""ltr"">Aurora Muni</span>","<td>07:38PM <span class=""tz"">EST</span></td>","<td>08:03PM <span class=""tz"">CST</span></td>",1:25,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,04-Dec-2020,LJ31,"<span dir=""ltr"">Orlando Intl</span>","<span dir=""ltr"">New River Valley</span>","<td>02:52PM <span class=""tz"">EST</span></td>","<td>04:24PM <span class=""tz"">EST</span></td>",1:31,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,04-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Orlando Intl</span>","<td>09:10AM <span class=""tz"">CST</span></td>","<td>12:28PM <span class=""tz"">EST</span></td>",2:17,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,03-Dec-2020,LJ31,"<span dir=""ltr"">Portland Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>12:43PM <span class=""tz"">PST</span></td>","<td>06:27PM <span class=""tz"">CST</span></td>",3:44,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,02-Dec-2020,LJ31,"<span dir=""ltr"">Redding Muni</span>","<span dir=""ltr"">Portland Intl</span>","<td>03:59PM <span class=""tz"">PST</span></td>","<td>04:56PM <span class=""tz"">PST</span></td>",0:56,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,02-Dec-2020,LJ31,"<span dir=""ltr"">Western Neb Rgnl</span>","<span dir=""ltr"">Redding Muni</span>","<td>12:32PM <span class=""tz"">MST</span></td>","<td>01:44PM <span class=""tz"">PST</span></td>",2:12,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,02-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Western Neb Rgnl</span>","<td>11:12AM <span class=""tz"">CST</span></td>","<td>11:56AM <span class=""tz"">MST</span></td>",1:43,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,01-Dec-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>07:38PM <span class=""tz"">CST</span></td>","<td>07:49PM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
